iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap4905e3d3-de,tap4905e3d3-de_20260313_091157Z_120s.pcap,3270,2026-03-13T09:13:37Z,1773393131.255208,2026-03-13T09:12:11Z,1773393216.795278,2026-03-13T09:13:36Z,27
tap4905e3d3-de,tap4905e3d3-de_20260313_091357Z_120s.pcap,4941,2026-03-13T09:15:48Z,1773393250.792914,2026-03-13T09:14:10Z,1773393347.793997,2026-03-13T09:15:47Z,41
tap4905e3d3-de,tap4905e3d3-de_20260313_091557Z_120s.pcap,4757,2026-03-13T09:17:55Z,1773393375.041609,2026-03-13T09:16:15Z,1773393475.750505,2026-03-13T09:17:55Z,39
tap4905e3d3-de,tap4905e3d3-de_20260313_091758Z_120s.pcap,3386,2026-03-13T09:19:37Z,1773393479.184627,2026-03-13T09:17:59Z,1773393576.431943,2026-03-13T09:19:36Z,28
tap4905e3d3-de,tap4905e3d3-de_20260313_091958Z_120s.pcap,5317,2026-03-13T09:21:51Z,1773393600.334366,2026-03-13T09:20:00Z,1773393710.333379,2026-03-13T09:21:50Z,44
tap4905e3d3-de,tap4905e3d3-de_20260313_092158Z_120s.pcap,3386,2026-03-13T09:23:34Z,1773393740.210422,2026-03-13T09:22:20Z,1773393814.065835,2026-03-13T09:23:34Z,28
tap4905e3d3-de,tap4905e3d3-de_20260313_092358Z_120s.pcap,4893,2026-03-13T09:25:52Z,1773393845.909256,2026-03-13T09:24:05Z,1773393951.762541,2026-03-13T09:25:51Z,40
tap4905e3d3-de,tap4905e3d3-de_20260313_092558Z_120s.pcap,4497,2026-03-13T09:27:44Z,1773393984.635239,2026-03-13T09:26:24Z,1773394063.853269,2026-03-13T09:27:43Z,37
tap4905e3d3-de,tap4905e3d3-de_20260313_092758Z_120s.pcap,4545,2026-03-13T09:29:58Z,1773394090.982778,2026-03-13T09:28:10Z,1773394198.245627,2026-03-13T09:29:58Z,37
tap4905e3d3-de,tap4905e3d3-de_20260313_092959Z_120s.pcap,3373,2026-03-13T09:31:41Z,1773394219.968672,2026-03-13T09:30:19Z,1773394301.304242,2026-03-13T09:31:41Z,28
tap4905e3d3-de,tap4905e3d3-de_20260313_093159Z_120s.pcap,3878,2026-03-13T09:33:47Z,1773394328.681692,2026-03-13T09:32:08Z,1773394427.372984,2026-03-13T09:33:47Z,32
tap4905e3d3-de,tap4905e3d3-de_20260313_093359Z_120s.pcap,4825,2026-03-13T09:35:39Z,1773394449.146732,2026-03-13T09:34:09Z,1773394539.601755,2026-03-13T09:35:39Z,40
tap4905e3d3-de,tap4905e3d3-de_20260313_093559Z_120s.pcap,4497,2026-03-13T09:37:40Z,1773394570.296798,2026-03-13T09:36:10Z,1773394660.608737,2026-03-13T09:37:40Z,37
tap4905e3d3-de,tap4905e3d3-de_20260313_093759Z_120s.pcap,3780,2026-03-13T09:39:28Z,1773394690.681557,2026-03-13T09:38:10Z,1773394768.211128,2026-03-13T09:39:28Z,31
tap4905e3d3-de,tap4905e3d3-de_20260313_093959Z_120s.pcap,4893,2026-03-13T09:41:57Z,1773394802.808309,2026-03-13T09:40:02Z,1773394916.845284,2026-03-13T09:41:56Z,40
tap4905e3d3-de,tap4905e3d3-de_20260313_094159Z_120s.pcap,3550,2026-03-13T09:43:55Z,1773394943.001599,2026-03-13T09:42:23Z,1773395034.776024,2026-03-13T09:43:54Z,29
tap4905e3d3-de,tap4905e3d3-de_20260313_094400Z_120s.pcap,4729,2026-03-13T09:45:44Z,1773395040.236863,2026-03-13T09:44:00Z,1773395144.368993,2026-03-13T09:45:44Z,39
